village_bps_code,sanitation,popdens
3201060005,available,6156.99005170316
3201060006,not available,6468.52236261211
3201060007,not available,7907.11259619917
3201060008,not available,8046.08844948875
3201060009,not available,5751.41491925734
3201060010,not available,4532.04919747932
3201070009,not available,10097.8731821192
3201070010,available,11750.77336933
3201070011,not available,7501.33465582011
3201070012,not available,9863.75817667911
3201070013,not available,102791.886795098
3201070014,not available,5853.60684534456
3201070015,not available,8262.17304978646
3201070016,not available,38342.6594903932
3201070017,not available,13370.8722301913
3201070018,not available,14036.6096693116
3201070019,not available,12885.5145370056
3201071001,not available,3154.92509242054
3201071002,not available,3469.54408538539
3201071003,not available,3674.52504053727
3201071004,not available,4489.6855489819
3201071005,not available,5086.58132469702
3201071006,not available,11190.3430581098
3201071007,not available,7010.60680933558
3201071008,not available,95060.360035326
3201080010,not available,4028.06536151217
3201080011,not available,1266.69800166336
3201080012,not available,1856.58320707997
3201080013,not available,2864.6901491364
3201080014,not available,3276.22754277805
3201080015,not available,2760.76605383397
3201080016,not available,1318.44078113618
3201080017,not available,3897.62138231394
3201080018,not available,1688.18477028368
3201081001,not available,2751.54960673434
3201081002,available,8696.11351039965
3201081003,not available,6341.73793427971
3201081004,not available,7345.78645148218
3201081005,available,5661.68387340067
3201081006,not available,3350.20168567977
3201081007,available,1474.89962775729
3201081008,not available,4911.20902755071
3201081009,not available,3748.76800022051
3201090001,available,857.39348888742
3201090002,not available,1543.60114315358
3201090003,not available,9342.55018377809
3201090004,not available,4589.85135244867
3201090005,not available,3888.76277625905
3201090006,available,5926.80804269889
3201090007,not available,3187.30422830517
3201090008,not available,6139.58594877754
3201090009,available,15058.2327007942
3201090010,available,3878.37019809328
3201090011,not available,3312.28559137969
3201090012,available,4086.83109771063
3201100001,not available,11435.7043195232
3201100002,not available,2854.03269603141
3201100003,not available,1448.25811231606
3201100004,not available,3732.37217718075
3201100005,not available,6884.92901262597
3201100006,not available,4874.54083773553
3201100007,not available,5422.00966090055
3201100008,not available,5214.29249097414
3201100009,not available,6677.6673532978
3201100010,not available,5380.87959119006
3201100011,not available,6713.54848445249
3201100012,not available,7406.03346186557
3201100013,not available,5937.18790105119
3201110001,available,2981.54849668641
3201110002,not available,24620.253350393
3201110003,not available,13595.669888814
3201110004,not available,19846.1306714776
3201110005,not available,6559.94094509091
3201110006,not available,88041.0504051724
3201110007,available,4337.11922807359
3201110008,not available,7456.51451673846
3201110009,not available,4466.70763004808
3201110010,available,44994.4916919421
3201120001,not available,2115.90162621568
3201120002,not available,2694.5869770277
3201120003,not available,1838.42962618568
3201120004,not available,2426.52542138164
3201120005,not available,51495.0023268817
